#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
1405                 -         LSU_rRNA_eukarya     RF02543    cm     2554     2676        1      123      + 5'&3'    4 0.54   0.0   93.8   1.7e-20 !   [C27453; 123bp]
2373                 -         LSU_rRNA_eukarya     RF02543    cm     1089     1211        1      123      + 5'&3'    4 0.46   0.0   93.8   1.8e-20 !   [C30743; 123bp]
2381                 -         LSU_rRNA_eukarya     RF02543    cm     1079     1200      123        1      - 5'&3'    4 0.45   0.0   93.6     2e-20 !   [C31477; 123bp]
3311                 -         LSU_rRNA_eukarya     RF02543    cm     2556     2679        1      123      + 5'&3'    4 0.54   0.0   93.6     2e-20 !   [C28041; 123bp]
2460                 -         LSU_rRNA_eukarya     RF02543    cm     1092     1214      123        1      - 5'&3'    4 0.46   0.0   93.4   2.2e-20 !   [C28707; 123bp]
2708                 -         LSU_rRNA_eukarya     RF02543    cm     1285     1406        1      123      + 5'&3'    4 0.54   0.0   93.4   2.3e-20 !   [C30013; 123bp]
665                  -         LSU_rRNA_eukarya     RF02543    cm     2556     2679        1      123      + 5'&3'    4 0.55   0.0   93.3   2.3e-20 !   [C28045; 123bp]
2972                 -         LSU_rRNA_eukarya     RF02543    cm     3040     3162        1      123      + 5'&3'    4 0.50   0.0   93.3   2.4e-20 !   [C31751; 123bp]
1245                 -         LSU_rRNA_eukarya     RF02543    cm     2555     2677      123        1      - 5'&3'    4 0.53   0.0   93.2   2.6e-20 !   [C27733; 123bp]
1230                 -         LSU_rRNA_eukarya     RF02543    cm     1028     1149        1      123      + 5'&3'    4 0.38   0.0   93.1   2.6e-20 !   [C32479; 123bp]
863                  -         LSU_rRNA_eukarya     RF02543    cm      993     1107        9      123      +    3'    4 0.36   0.0   93.0   2.8e-20 !   [C33667; 123bp]
1560                 -         LSU_rRNA_eukarya     RF02543    cm     1071     1192      123        1      - 5'&3'    4 0.43   0.0   92.9   2.9e-20 !   [C27705; 123bp]
3360                 -         LSU_rRNA_eukarya     RF02543    cm     2428     2553        1      123      + 5'&3'    4 0.41   0.0   92.9     3e-20 !   [C33105; 123bp]
1924                 -         LSU_rRNA_eukarya     RF02543    cm     1028     1149        1      123      + 5'&3'    4 0.37   0.0   92.8   3.1e-20 !   [C32477; 123bp]
1788                 -         LSU_rRNA_eukarya     RF02543    cm     1006     1127      123        1      - 5'&3'    4 0.37   0.0   92.8   3.2e-20 !   [C28559; 123bp]
2101                 -         LSU_rRNA_eukarya     RF02543    cm      993     1106       10      123      +    3'    4 0.36   0.0   92.8   3.2e-20 !   [C30775; 123bp]
3612                 -         LSU_rRNA_eukarya     RF02543    cm     1012     1133        1      123      + 5'&3'    4 0.38   0.0   92.6   3.5e-20 !   [C28729; 123bp]
2829                 -         LSU_rRNA_eukarya     RF02543    cm      322      444        1      123      + 5'&3'    4 0.38   3.1   92.4   4.1e-20 !   [C27893; 123bp]
3304                 -         LSU_rRNA_eukarya     RF02543    cm     2428     2553      123        1      - 5'&3'    4 0.41   0.0   92.1   4.9e-20 !   [C29925; 123bp]
1395                 -         LSU_rRNA_eukarya     RF02543    cm     1013     1134      123        1      - 5'&3'    4 0.40   0.0   91.9   5.2e-20 !   [C29517; 123bp]
2500                 -         LSU_rRNA_eukarya     RF02543    cm     2552     2674        1      123      + 5'&3'    4 0.54   0.0   91.8   5.6e-20 !   [C31279; 123bp]
1915                 -         LSU_rRNA_eukarya     RF02543    cm      327      449        1      123      + 5'&3'    4 0.42   0.4   91.4   7.1e-20 !   [C28687; 123bp]
1488                 -         LSU_rRNA_eukarya     RF02543    cm       39      161        1      123      + 5'&3'    4 0.46   0.0   91.0   9.3e-20 !   [C33055; 123bp]
3473                 -         LSU_rRNA_eukarya     RF02543    cm     1879     2001      123        1      - 5'&3'    4 0.50   0.0   90.8     1e-19 !   [C27499; 123bp]
2118                 -         LSU_rRNA_eukarya     RF02543    cm     2068     2190        1      123      + 5'&3'    4 0.42   0.0   90.8     1e-19 !   [C29821; 123bp]
3446                 -         LSU_rRNA_eukarya     RF02543    cm      327      449        1      123      + 5'&3'    4 0.41   1.1   90.8     1e-19 !   [C28685; 123bp]
1084                 -         LSU_rRNA_eukarya     RF02543    cm     2552     2674        1      123      + 5'&3'    4 0.54   0.0   90.7   1.1e-19 !   [C29053; 123bp]
1135                 -         LSU_rRNA_eukarya     RF02543    cm     2430     2555        1      123      + 5'&3'    4 0.41   0.0   90.4   1.3e-19 !   [C30581; 123bp]
1166                 -         LSU_rRNA_eukarya     RF02543    cm     2068     2190        1      123      + 5'&3'    4 0.42   0.0   90.3   1.4e-19 !   [C29819; 123bp]
4082                 -         LSU_rRNA_eukarya     RF02543    cm     1368     1484        1      118      + 5'&3'    4 0.53   0.0   90.3   1.4e-19 !   [C26821; 118bp]
2215                 -         LSU_rRNA_eukarya     RF02543    cm     1784     1906      123        1      - 5'&3'    4 0.48   0.0   89.3   2.6e-19 !   [C27797; 123bp]
1345                 -         LSU_rRNA_eukarya     RF02543    cm     1022     1143        1      123      + 5'&3'    4 0.37   0.0   89.3   2.6e-19 !   [C28031; 123bp]
2279                 -         LSU_rRNA_eukarya     RF02543    cm     1020     1141        1      123      + 5'&3'    4 0.37   0.0   89.1   2.9e-19 !   [C28033; 123bp]
1226                 -         LSU_rRNA_eukarya     RF02543    cm        1       87       37      123      +    3'    3 0.44   0.0   89.0     3e-19 !   [C33231; 123bp]
3590                 -         LSU_rRNA_eukarya     RF02543    cm     1332     1453        1      123      + 5'&3'    4 0.55   0.0   88.9   3.2e-19 !   [C28705; 123bp]
3477                 -         LSU_rRNA_eukarya     RF02543    cm        1       82       82        1      -    3'    3 0.44   0.0   88.9   3.2e-19 !   [C28433; 123bp]
2780                 -         LSU_rRNA_eukarya     RF02543    cm     1470     1589        1      123      + 5'&3'    4 0.49   0.0   88.9   3.3e-19 !   [C27939; 123bp]
894                  -         LSU_rRNA_eukarya     RF02543    cm     1025     1146        1      123      + 5'&3'    4 0.37   0.0   88.8   3.4e-19 !   [C29497; 123bp]
1801                 -         LSU_rRNA_eukarya     RF02543    cm     2552     2674        1      123      + 5'&3'    4 0.53   0.0   88.8   3.4e-19 !   [C31277; 123bp]
2917                 -         LSU_rRNA_eukarya     RF02543    cm     1021     1142      123        1      - 5'&3'    4 0.37   0.0   88.7   3.6e-19 !   [C31385; 123bp]
3441                 -         LSU_rRNA_eukarya     RF02543    cm     1781     1903        1      123      + 5'&3'    4 0.50   0.0   88.7   3.7e-19 !   [C31453; 123bp]
2744                 -         LSU_rRNA_eukarya     RF02543    cm     3050     3172      123        1      - 5'&3'    4 0.49   0.0   88.6     4e-19 !   [C28159; 123bp]
1724                 -         LSU_rRNA_eukarya     RF02543    cm     1493     1612        1      123      + 5'&3'    4 0.50   0.0   88.5   4.1e-19 !   [C29993; 123bp]
3902                 -         LSU_rRNA_eukarya     RF02543    cm     2549     2671      123        1      - 5'&3'    4 0.53   0.0   88.2   4.8e-19 !   [C30371; 123bp]
1616                 -         LSU_rRNA_eukarya     RF02543    cm       40      162      123        1      - 5'&3'    4 0.46   0.0   88.1   5.2e-19 !   [C31579; 123bp]
822                  -         LSU_rRNA_eukarya     RF02543    cm     2067     2189        1      123      + 5'&3'    4 0.42   0.0   88.0   5.4e-19 !   [C29823; 123bp]
3061                 -         LSU_rRNA_eukarya     RF02543    cm       39      161        1      123      + 5'&3'    4 0.46   0.0   88.0   5.5e-19 !   [C33057; 123bp]
1228                 -         LSU_rRNA_eukarya     RF02543    cm     2551     2672        1      123      + 5'&3'    4 0.52   0.0   87.7   6.4e-19 !   [C30925; 123bp]
1955                 -         LSU_rRNA_eukarya     RF02543    cm      743      865      123        1      - 5'&3'    4 0.50   0.0   87.5   7.2e-19 !   [C31387; 123bp]
4046                 -         LSU_rRNA_eukarya     RF02543    cm     1293     1411        1      120      + 5'&3'    4 0.55   0.0   87.4   7.9e-19 !   [C26935; 120bp]
3766                 -         LSU_rRNA_eukarya     RF02543    cm        1       84       40      123      +    3'    3 0.46   0.0   87.2   8.9e-19 !   [C32223; 123bp]
3794                 -         LSU_rRNA_eukarya     RF02543    cm     1508     1627        1      123      + 5'&3'    4 0.50   0.0   87.0   9.7e-19 !   [C33567; 123bp]
2138                 -         LSU_rRNA_eukarya     RF02543    cm     1779     1901        1      123      + 5'&3'    4 0.52   0.0   87.0   9.9e-19 !   [C28265; 123bp]
2179                 -         LSU_rRNA_eukarya     RF02543    cm     2440     2565      123        1      - 5'&3'    4 0.42   0.0   86.9     1e-18 !   [C27611; 123bp]
873                  -         LSU_rRNA_eukarya     RF02543    cm     1307     1428        1      123      + 5'&3'    4 0.53   0.0   86.6   1.2e-18 !   [C31027; 123bp]
1211                 -         LSU_rRNA_eukarya     RF02543    cm     1002     1117      123        8      -    5'    4 0.35   0.0   86.5   1.4e-18 !   [C32243; 123bp]
1295                 -         LSU_rRNA_eukarya     RF02543    cm     1471     1590        1      123      + 5'&3'    4 0.47   0.0   86.2   1.6e-18 !   [C31677; 123bp]
4029                 -         LSU_rRNA_eukarya     RF02543    cm     1293     1411        1      120      + 5'&3'    4 0.55   0.0   86.1   1.7e-18 !   [C26953; 120bp]
1158                 -         LSU_rRNA_eukarya     RF02543    cm     1505     1624      123        1      - 5'&3'    4 0.52   0.0   85.5   2.4e-18 !   [C33529; 123bp]
1423                 -         LSU_rRNA_eukarya     RF02543    cm     2440     2565      123        1      - 5'&3'    4 0.41   0.0   85.5   2.4e-18 !   [C27613; 123bp]
732                  -         LSU_rRNA_eukarya     RF02543    cm     1296     1417      123        1      - 5'&3'    4 0.54   0.0   84.8   3.7e-18 !   [C27357; 123bp]
2281                 -         LSU_rRNA_eukarya     RF02543    cm      335      457      123        1      - 5'&3'    4 0.41   0.0   84.7     4e-18 !   [C28907; 123bp]
1108                 -         LSU_rRNA_eukarya     RF02543    cm     1778     1900        1      123      + 5'&3'    4 0.50   0.0   84.5   4.3e-18 !   [C29355; 123bp]
2619                 -         LSU_rRNA_eukarya     RF02543    cm      335      457      123        1      - 5'&3'    4 0.42   0.0   84.4   4.8e-18 !   [C28909; 123bp]
2635                 -         LSU_rRNA_eukarya     RF02543    cm     1474     1593      123        1      - 5'&3'    4 0.49   0.0   84.0     6e-18 !   [C30693; 123bp]
3140                 -         LSU_rRNA_eukarya     RF02543    cm     1474     1593      123        1      - 5'&3'    4 0.50   0.0   83.9   6.4e-18 !   [C30695; 123bp]
2006                 -         LSU_rRNA_eukarya     RF02543    cm     1319     1440        1      123      + 5'&3'    4 0.57   0.0   83.7   7.2e-18 !   [C31055; 123bp]
3392                 -         LSU_rRNA_eukarya     RF02543    cm     1316     1437      123        1      - 5'&3'    4 0.56   0.0   83.4   8.4e-18 !   [C30143; 123bp]
2145                 -         LSU_rRNA_eukarya     RF02543    cm      200      320      123        1      - 5'&3'    4 0.46   0.0   83.3   8.9e-18 !   [C29127; 123bp]
767                  -         LSU_rRNA_eukarya     RF02543    cm     1474     1593      123        1      - 5'&3'    4 0.50   0.0   83.2   9.7e-18 !   [C30697; 123bp]
730                  -         LSU_rRNA_eukarya     RF02543    cm        1       77       77        1      -    3'    3 0.47   0.0   82.9   1.1e-17 !   [C28405; 123bp]
1606                 -         LSU_rRNA_eukarya     RF02543    cm      336      458      123        1      - 5'&3'    4 0.42   0.0   82.7   1.3e-17 !   [C32439; 123bp]
2492                 -         LSU_rRNA_eukarya     RF02543    cm        1       80       44      123      +    3'    3 0.45   0.0   82.6   1.4e-17 !   [C31915; 123bp]
2861                 -         LSU_rRNA_eukarya     RF02543    cm     1763     1886        1      123      + 5'&3'    4 0.56   0.0   82.6   1.4e-17 !   [C31777; 123bp]
2001                 -         LSU_rRNA_eukarya     RF02543    cm      337      459        1      123      + 5'&3'    4 0.40   0.0   82.5   1.5e-17 !   [C30545; 123bp]
2966                 -         LSU_rRNA_eukarya     RF02543    cm       46      168      123        1      - 5'&3'    4 0.47   0.0   82.4   1.5e-17 !   [C32175; 123bp]
3947                 -         LSU_rRNA_eukarya     RF02543    cm     1477     1596      123        1      - 5'&3'    4 0.50   0.0   82.3   1.6e-17 !   [C31971; 123bp]
3152                 -         LSU_rRNA_eukarya     RF02543    cm     2440     2565      123        1      - 5'&3'    4 0.42   0.0   82.3   1.7e-17 !   [C27615; 123bp]
3763                 -         LSU_rRNA_eukarya     RF02543    cm       48      170      123        1      - 5'&3'    4 0.49   0.0   82.2   1.8e-17 !   [C30741; 123bp]
1992                 -         LSU_rRNA_eukarya     RF02543    cm     1321     1442      123        1      - 5'&3'    4 0.57   0.0   82.1   1.8e-17 !   [C30019; 123bp]
3524                 -         LSU_rRNA_eukarya     RF02543    cm        1       77       77        1      -    3'    3 0.45   0.0   82.1   1.8e-17 !   [C28403; 123bp]
833                  -         LSU_rRNA_eukarya     RF02543    cm        1       76       76        1      -    3'    3 0.43   0.0   82.1   1.9e-17 !   [C31917; 123bp]
1640                 -         LSU_rRNA_eukarya     RF02543    cm     1593     1715      123        1      - 5'&3'    4 0.46   0.0   82.1   1.9e-17 !   [C33215; 123bp]
1067                 -         LSU_rRNA_eukarya     RF02543    cm      337      459        1      123      + 5'&3'    4 0.40   0.1   81.8   2.2e-17 !   [C30543; 123bp]
3829                 -         LSU_rRNA_eukarya     RF02543    cm      338      460        1      123      + 5'&3'    4 0.40   0.0   81.5   2.6e-17 !   [C31383; 123bp]
681                  -         LSU_rRNA_eukarya     RF02543    cm      338      460        1      123      + 5'&3'    4 0.40   0.0   81.5   2.6e-17 !   [C31381; 123bp]
3091                 -         LSU_rRNA_eukarya     RF02543    cm     1292     1413      123        1      - 5'&3'    4 0.53   0.0   81.4   2.7e-17 !   [C33235; 123bp]
1970                 -         LSU_rRNA_eukarya     RF02543    cm       41      163      123        1      - 5'&3'    4 0.48   0.0   81.3   2.9e-17 !   [C28931; 123bp]
2686                 -         LSU_rRNA_eukarya     RF02543    cm      211      331      123        1      - 5'&3'    4 0.48   0.0   81.2   3.1e-17 !   [C27425; 123bp]
684                  -         LSU_rRNA_eukarya     RF02543    cm        1       77       77        1      -    3'    3 0.47   0.0   81.2   3.1e-17 !   [C28407; 123bp]
3635                 -         LSU_rRNA_eukarya     RF02543    cm      218      338        1      123      + 5'&3'    4 0.46   0.0   81.0   3.4e-17 !   [C32771; 123bp]
807                  -         LSU_rRNA_eukarya     RF02543    cm     2442     2567      123        1      - 5'&3'    4 0.41   0.0   80.9   3.8e-17 !   [C33407; 123bp]
3623                 -         LSU_rRNA_eukarya     RF02543    cm     1768     1891        1      123      + 5'&3'    4 0.54   0.0   80.5   4.8e-17 !   [C29451; 123bp]
859                  -         LSU_rRNA_eukarya     RF02543    cm     3286     3401      123        9      -    5'    2 0.39   0.0   80.5   4.8e-17 !   [C32881; 123bp]
3209                 -         LSU_rRNA_eukarya     RF02543    cm     1484     1603        1      123      + 5'&3'    4 0.50   0.0   80.4     5e-17 !   [C31747; 123bp]
3482                 -         LSU_rRNA_eukarya     RF02543    cm     1298     1419      123        1      - 5'&3'    4 0.51   0.0   80.4   5.1e-17 !   [C30039; 123bp]
2338                 -         LSU_rRNA_eukarya     RF02543    cm     1317     1438        1      123      + 5'&3'    4 0.54   0.0   80.3   5.3e-17 !   [C29913; 123bp]
3743                 -         LSU_rRNA_eukarya     RF02543    cm     1495     1614      123        1      - 5'&3'    4 0.50   0.0   80.2   5.7e-17 !   [C29347; 123bp]
2085                 -         LSU_rRNA_eukarya     RF02543    cm      206      326        1      123      + 5'&3'    4 0.46   0.0   80.2   5.8e-17 !   [C29653; 123bp]
3490                 -         LSU_rRNA_eukarya     RF02543    cm     3057     3179      123        1      - 5'&3'    4 0.48   0.0   80.0   6.3e-17 !   [C28585; 123bp]
3504                 -         LSU_rRNA_eukarya     RF02543    cm      650      773        1      123      + 5'&3'    4 0.52   0.0   79.9   6.7e-17 !   [C32587; 123bp]
759                  -         LSU_rRNA_eukarya     RF02543    cm      209      329        1      123      + 5'&3'    4 0.48   0.0   79.9   6.8e-17 !   [C30685; 123bp]
2421                 -         LSU_rRNA_eukarya     RF02543    cm      217      337        1      123      + 5'&3'    4 0.46   0.0   79.6     8e-17 !   [C29695; 123bp]
2064                 -         LSU_rRNA_eukarya     RF02543    cm     1299     1420      123        1      - 5'&3'    4 0.50   0.0   79.5   8.3e-17 !   [C32469; 123bp]
1468                 -         LSU_rRNA_eukarya     RF02543    cm      644      767        1      123      + 5'&3'    4 0.54   0.0   79.2     1e-16 !   [C28807; 123bp]
2803                 -         LSU_rRNA_eukarya     RF02543    cm     3282     3401      123        5      -    5'    2 0.40   0.0   79.2     1e-16 !   [C30523; 123bp]
3211                 -         LSU_rRNA_eukarya     RF02543    cm     2062     2184      123        1      - 5'&3'    4 0.41   0.0   79.1   1.1e-16 !   [C27695; 123bp]
1079                 -         LSU_rRNA_eukarya     RF02543    cm      740      862      123        1      - 5'&3'    4 0.50   0.0   78.8   1.3e-16 !   [C30797; 123bp]
1310                 -         LSU_rRNA_eukarya     RF02543    cm     1311     1432        1      123      + 5'&3'    4 0.54   0.0   78.8   1.3e-16 !   [C29939; 123bp]
1391                 -         LSU_rRNA_eukarya     RF02543    cm     3061     3183        1      123      + 5'&3'    4 0.49   0.0   78.7   1.4e-16 !   [C29143; 123bp]
1657                 -         LSU_rRNA_eukarya     RF02543    cm     1675     1799        1      123      + 5'&3'    4 0.53   0.0   78.7   1.4e-16 !   [C29505; 123bp]
2901                 -         LSU_rRNA_eukarya     RF02543    cm     1676     1800        1      123      + 5'&3'    4 0.53   0.0   78.6   1.4e-16 !   [C29493; 123bp]
3926                 -         LSU_rRNA_eukarya     RF02543    cm       49      171        1      123      + 5'&3'    4 0.48   0.0   78.5   1.5e-16 !   [C28465; 123bp]
1492                 -         LSU_rRNA_eukarya     RF02543    cm      640      763      123        1      - 5'&3'    4 0.52   0.0   78.5   1.5e-16 !   [C28079; 123bp]
2549                 -         LSU_rRNA_eukarya     RF02543    cm     1888     2010      123        1      - 5'&3'    4 0.51   0.0   78.3   1.8e-16 !   [C33079; 123bp]
6300                 -         LSU_rRNA_eukarya     RF02543    cm      236      340        1      105      + 5'&3'    4 0.45   0.0   78.2   1.8e-16 !   [C20476; 105bp]
3845                 -         LSU_rRNA_eukarya     RF02543    cm      644      767        1      123      + 5'&3'    4 0.54   0.0   78.2   1.9e-16 !   [C28805; 123bp]
701                  -         LSU_rRNA_eukarya     RF02543    cm     1592     1714        1      123      + 5'&3'    4 0.49   0.0   78.1     2e-16 !   [C33467; 123bp]
1530                 -         LSU_rRNA_eukarya     RF02543    cm     3285     3401        1      116      +    5'    2 0.41   0.0   78.1     2e-16 !   [C31007; 123bp]
1917                 -         LSU_rRNA_eukarya     RF02543    cm     1599     1721        1      123      + 5'&3'    4 0.49   0.0   78.1     2e-16 !   [C28893; 123bp]
1164                 -         LSU_rRNA_eukarya     RF02543    cm     2521     2643      123        1      - 5'&3'    4 0.50   0.0   78.0   2.1e-16 !   [C29231; 123bp]
2981                 -         LSU_rRNA_eukarya     RF02543    cm      737      859        1      123      + 5'&3'    4 0.51   0.0   77.9   2.2e-16 !   [C31873; 123bp]
968                  -         LSU_rRNA_eukarya     RF02543    cm      727      854        1      123      + 5'&3'    4 0.51   0.0   77.8   2.3e-16 !   [C27681; 123bp]
1851                 -         LSU_rRNA_eukarya     RF02543    cm     2535     2657        1      123      + 5'&3'    4 0.53   0.0   77.8   2.3e-16 !   [C29439; 123bp]
2935                 -         LSU_rRNA_eukarya     RF02543    cm      187      307      123        1      - 5'&3'    4 0.50   0.0   77.6   2.7e-16 !   [C33617; 123bp]
1947                 -         LSU_rRNA_eukarya     RF02543    cm        1       73       51      123      +    3'    3 0.45   0.0   77.5   2.8e-16 !   [C33349; 123bp]
2023                 -         LSU_rRNA_eukarya     RF02543    cm      644      767        1      123      + 5'&3'    4 0.54   0.0   77.4     3e-16 !   [C28809; 123bp]
2976                 -         LSU_rRNA_eukarya     RF02543    cm      209      329        1      123      + 5'&3'    4 0.48   0.0   77.2   3.4e-16 !   [C30683; 123bp]
6301                 -         LSU_rRNA_eukarya     RF02543    cm      236      340      105        1      - 5'&3'    4 0.45   0.0   77.1   3.5e-16 !   [C20358; 105bp]
2949                 -         LSU_rRNA_eukarya     RF02543    cm     1889     2011        1      123      + 5'&3'    4 0.52   0.0   77.0   3.8e-16 !   [C27547; 123bp]
2225                 -         LSU_rRNA_eukarya     RF02543    cm     1513     1632      123        1      - 5'&3'    4 0.49   0.0   77.0   3.8e-16 !   [C32189; 123bp]
2165                 -         LSU_rRNA_eukarya     RF02543    cm      647      770      123        1      - 5'&3'    4 0.51   0.0   76.9     4e-16 !   [C27505; 123bp]
1950                 -         LSU_rRNA_eukarya     RF02543    cm     1585     1707        1      123      + 5'&3'    4 0.50   0.0   76.8   4.2e-16 !   [C28655; 123bp]
2663                 -         LSU_rRNA_eukarya     RF02543    cm     2057     2180        1      123      + 5'&3'    4 0.45   0.0   76.7   4.4e-16 !   [C33385; 123bp]
1787                 -         LSU_rRNA_eukarya     RF02543    cm      188      308        1      123      + 5'&3'    4 0.51   0.0   76.7   4.5e-16 !   [C29093; 123bp]
2233                 -         LSU_rRNA_eukarya     RF02543    cm     3300     3401      123       23      -    5'    2 0.40   0.0   76.5   5.1e-16 !   [C29621; 123bp]
2965                 -         LSU_rRNA_eukarya     RF02543    cm      721      843      123        1      - 5'&3'    4 0.49   0.0   76.3   5.8e-16 !   [C33357; 123bp]
2546                 -         LSU_rRNA_eukarya     RF02543    cm     3281     3401        1      120      +    5'    2 0.38   0.1   76.2   6.2e-16 !   [C27565; 123bp]
2928                 -         LSU_rRNA_eukarya     RF02543    cm     1514     1633        1      123      + 5'&3'    4 0.49   0.0   76.1   6.5e-16 !   [C27607; 123bp]
2653                 -         LSU_rRNA_eukarya     RF02543    cm     2533     2655      123        1      - 5'&3'    4 0.51   0.0   75.9   7.3e-16 !   [C29373; 123bp]
3778                 -         LSU_rRNA_eukarya     RF02543    cm     3062     3184      123        1      - 5'&3'    4 0.50   0.0   75.8   7.6e-16 !   [C33217; 123bp]
3642                 -         LSU_rRNA_eukarya     RF02543    cm       50      172      123        1      - 5'&3'    4 0.50   0.0   75.7   8.4e-16 !   [C31695; 123bp]
793                  -         LSU_rRNA_eukarya     RF02543    cm     2057     2180      123        1      - 5'&3'    4 0.45   0.0   75.6   8.6e-16 !   [C31495; 123bp]
1742                 -         LSU_rRNA_eukarya     RF02543    cm     2516     2638      123        1      - 5'&3'    4 0.49   0.0   75.6   8.6e-16 !   [C33685; 123bp]
1117                 -         LSU_rRNA_eukarya     RF02543    cm     1586     1708        1      123      + 5'&3'    4 0.51   0.0   75.6   8.9e-16 !   [C32085; 123bp]
3702                 -         LSU_rRNA_eukarya     RF02543    cm     3289     3401        1      112      +    5'    2 0.41   0.0   75.6   8.9e-16 !   [C30449; 123bp]
1475                 -         LSU_rRNA_eukarya     RF02543    cm     2060     2182      123        1      - 5'&3'    4 0.42   0.0   75.5   9.1e-16 !   [C28939; 123bp]
3432                 -         LSU_rRNA_eukarya     RF02543    cm      211      331      123        1      - 5'&3'    4 0.48   0.0   75.4   9.8e-16 !   [C27423; 123bp]
2211                 -         LSU_rRNA_eukarya     RF02543    cm     3063     3185        1      123      + 5'&3'    4 0.50   0.0   75.3     1e-15 !   [C28307; 123bp]
1197                 -         LSU_rRNA_eukarya     RF02543    cm     2519     2641      123        1      - 5'&3'    4 0.51   0.0   75.3     1e-15 !   [C32547; 123bp]
783                  -         LSU_rRNA_eukarya     RF02543    cm     3064     3186      123        1      - 5'&3'    4 0.48   0.0   75.3   1.1e-15 !   [C28501; 123bp]
1439                 -         LSU_rRNA_eukarya     RF02543    cm        1       72       52      123      +    3'    3 0.46   0.0   75.0   1.2e-15 !   [C27491; 123bp]
1389                 -         LSU_rRNA_eukarya     RF02543    cm      638      761      123        1      - 5'&3'    4 0.50   0.0   74.6   1.6e-15 !   [C32241; 123bp]
2348                 -         LSU_rRNA_eukarya     RF02543    cm       56      178      123        1      - 5'&3'    4 0.47   0.0   74.6   1.6e-15 !   [C29725; 123bp]
826                  -         LSU_rRNA_eukarya     RF02543    cm      715      837        1      123      + 5'&3'    4 0.50   0.0   74.4   1.8e-15 !   [C30205; 123bp]
782                  -         LSU_rRNA_eukarya     RF02543    cm     1532     1651        1      123      + 5'&3'    4 0.49   0.0   74.4   1.8e-15 !   [C28677; 123bp]
3239                 -         LSU_rRNA_eukarya     RF02543    cm      723      845      123        1      - 5'&3'    4 0.51   0.0   74.3   1.9e-15 !   [C29507; 123bp]
2610                 -         LSU_rRNA_eukarya     RF02543    cm      727      849      123        1      - 5'&3'    4 0.52   0.0   74.3   1.9e-15 !   [C28717; 123bp]
3932                 -         LSU_rRNA_eukarya     RF02543    cm      723      845      123        1      - 5'&3'    4 0.50   0.0   74.2     2e-15 !   [C29971; 123bp]
2557                 -         LSU_rRNA_eukarya     RF02543    cm      180      300        1      123      + 5'&3'    4 0.51   0.0   74.0   2.2e-15 !   [C33435; 123bp]
1014                 -         LSU_rRNA_eukarya     RF02543    cm      721      843      123        1      - 5'&3'    4 0.49   0.0   74.0   2.2e-15 !   [C33355; 123bp]
1501                 -         LSU_rRNA_eukarya     RF02543    cm      654      777      123        1      - 5'&3'    4 0.49   0.0   73.8   2.6e-15 !   [C33527; 123bp]
2837                 -         LSU_rRNA_eukarya     RF02543    cm      723      845      123        1      - 5'&3'    4 0.51   0.0   73.8   2.6e-15 !   [C28821; 123bp]
1126                 -         LSU_rRNA_eukarya     RF02543    cm     1898     2020        1      123      + 5'&3'    4 0.54   0.0   73.7   2.7e-15 !   [C32703; 123bp]
1698                 -         LSU_rRNA_eukarya     RF02543    cm     1532     1651        1      123      + 5'&3'    4 0.50   0.0   73.5     3e-15 !   [C28679; 123bp]
1456                 -         LSU_rRNA_eukarya     RF02543    cm     1768     1891        1      123      + 5'&3'    4 0.55   0.0   73.5   3.1e-15 !   [C29453; 123bp]
5609                 -         LSU_rRNA_eukarya     RF02543    cm     1782     1891        1      110      + 5'&3'    4 0.55   0.0   73.4   3.2e-15 !   [C22423; 110bp]
3130                 -         LSU_rRNA_eukarya     RF02543    cm     1532     1651        1      123      + 5'&3'    4 0.50   0.0   73.3   3.4e-15 !   [C28181; 123bp]
917                  -         LSU_rRNA_eukarya     RF02543    cm      175      295        1      123      + 5'&3'    4 0.51   0.0   73.2   3.6e-15 !   [C30233; 123bp]
1795                 -         LSU_rRNA_eukarya     RF02543    cm      175      295      123        1      - 5'&3'    4 0.51   0.0   73.1   3.8e-15 !   [C33299; 123bp]
1056                 -         LSU_rRNA_eukarya     RF02543    cm     1603     1726      123        1      - 5'&3'    4 0.50   0.0   73.1   3.9e-15 !   [C28813; 123bp]
6320                 -         LSU_rRNA_eukarya     RF02543    cm      236      340      105        1      - 5'&3'    4 0.46   0.0   73.0     4e-15 !   [C20360; 105bp]
940                  -         LSU_rRNA_eukarya     RF02543    cm     1531     1650      123        1      - 5'&3'    4 0.48   0.0   73.0   4.1e-15 !   [C30343; 123bp]
1909                 -         LSU_rRNA_eukarya     RF02543    cm     1667     1791      123        1      - 5'&3'    4 0.55   0.0   73.0   4.2e-15 !   [C31321; 123bp]
1335                 -         LSU_rRNA_eukarya     RF02543    cm      727      853      123        1      - 5'&3'    4 0.51   0.0   73.0   4.2e-15 !   [C29855; 123bp]
1525                 -         LSU_rRNA_eukarya     RF02543    cm      633      756        1      123      + 5'&3'    4 0.51   0.0   72.8   4.6e-15 !   [C32705; 123bp]
